CN3	AS2	NEC2	BRC	UPRC1	NEC3	NEC1	IN	GPC	NEC4	AS3	OPC/OL	Inter	Neuron	AS1	CBC	CN1	CN2	PGC2	CN5	ME	CN4	PGC1	UPRC2
CLU	1.14246231387166	3.32136174662834	2.37047494379731	2.91004686401748	1.61007413258052	2.65820389089034	2.37877844232206	1.19276232616114	2.73367344157185	2.52394910122415	2.96971677446819	2.17643182389449	2.10582711670286	1.60195715253606	3.85786753284508	2.63703294314407	1.03200437835523	1.16370403267649	2.6170646284222	1.73724019045574	1.75258844981063	1.31378110298138	2.42475889569884	1.79275832316668
HIST1H4C	1.27441521175197	0.806172222882141	2.576176286975	0.810300837476905	0.952544397891378	1.03538309657202	1.75407126762236	1.26710241098739	0.841478172162547	1.48321023528133	0.842624207552405	0.949669233054949	1.02297393499591	1.06889554815399	0.783258866239987	0.712113583627825	1.27903804803621	1.17899135989629	0.891206693577019	1.18134541478904	0.804550228914947	1.23625028371377	0.937891355825566	0.613150969970022
NTS	0.253183136298433	0.132829675504729	0.106349592987959	0.0696216083684437	0.130236527489737	0.14656928614647	0.138615821705494	0.110866302120291	0.104252767020385	0.102508925922382	0.144717924358082	0.112493124441499	0.200411521789075	0.208207438587428	0.135295530485088	0.0450749757327257	1.42918968376513	0.201004904735477	0.119832549072499	0.279346132636147	0.128769345666653	0.263410205670543	0.0942048421610012	0.0918235420386621
MYOG	0.00854367875811683	0.00197785196475744	0.00851758099658124	0.00202981000896309	0.0196519355022065	0.0136931079502265	0.00908362972515337	0.0057230374913675	0.00603307896786699	0.0117404677615476	0.00542627632216817	0.0404284473840502	0.0168396838383749	0.0056423575827729	0.0032444906050545	0.00280964241378836	0.00276606918267543	0.00577428879030219	0.0432868068972995	0.0122061952101694	0.141503142035904	0.0154693311453826	0.0269916529041142	0.0218812852352375
RSPO3	0.136808060499572	0.703601236108948	0.145089649117648	0.205212435650238	0.0844003233142338	0.338801593580556	0.136071451826801	0.0844183088486012	0.172554693131648	0.201552703544436	0.254922959182593	0.196357198931778	0.266832074564197	0.251388261319995	0.168113285199461	0.0903603854883811	0.178813058275735	0.237603054521079	0.296656899393699	0.223986551136687	0.127408229571371	0.110543940005178	0.506304963329545	0.0975391429477821
ID3	0.279404112360008	1.22037563413613	0.95010378550851	1.4952898169206	0.420658963244987	0.9925753616181	0.725736477295316	0.328727419630136	0.692766391217143	1.05796959272791	1.11121003075516	0.635703073360105	0.770076727117774	0.346640003710099	0.910360353887461	1.36704545472499	0.209800071789031	0.224365066265834	1.24057875957807	0.357519446212636	0.660194248935046	0.324411900834629	1.12879084287728	0.918961373999105
MLLT11	2.77394454797474	1.4375995293421	1.44710845539236	1.17932149067303	1.91739442090642	1.31056796252081	1.09120620882594	2.74577857432808	1.59550055225227	1.45101795529494	1.57318821935822	2.12428031438121	2.12006290697819	2.86451794969707	1.49605865287816	0.722292318169886	2.65846859406939	2.69682295776487	1.53444045728419	2.55410897535515	2.06969898208702	2.54537526802055	1.39917413361098	1.20565151457332
PMP2	0.139547399009998	0.33347527843789	0.313116464667111	0.116801133658327	0.116343782065201	0.411240311439038	0.250873348777534	0.229115152883085	0.339658142473445	0.365866681629131	0.586974797587395	0.659496556540553	0.253952129753567	0.177461674082642	1.1728801514915	0.0464880602693266	0.0795773379098635	0.064771146357892	0.254122105454969	0.149457957438943	0.199522657953682	0.157420015310441	0.181862585363346	0.130807507715418
CHI3L1	0.00437320881607394	0.122577019527827	0.0368186774824974	0.0516692998208248	0.0105065733127945	0.0377570574688591	0.0491229861577692	0.00435473397740764	0.0619261689923947	0.0529732668889927	0.0424534539453389	0.0133718555995684	0.0266790007450091	0.00415363972850605	0.0630274844997731	0.0296321318213471	0.00230197389225776	0.00309212541696561	0.0783332914384489	0.0181792278236417	0.0240614658567699	0.00533953628619629	0.11952942331977	0.0952312253959491
CKS2	0.572250425641588	0.624213686176561	1.69609955382041	0.625034081593268	1.06206846994801	1.15701654719444	2.68376189014032	0.568298072864968	0.801693503872714	1.01302613493123	0.667684064605147	0.792778110752103	0.645555336845013	0.691235401135071	0.570850421979875	0.709039204714406	0.461614385884074	0.367589110597443	0.785324475457951	0.711110698504396	0.836807086561437	0.64003006990606	0.701218562546273	1.04363271209669
TRPM3	0.131782571950174	0.399831193411589	0.152191081562025	1.37490566674273	0.132431282237824	0.30000019017699	0.200233562456099	0.12463269783778	0.191855682642786	0.232089683140286	0.219560604413586	0.155890011690573	0.270373605255416	0.0575049798562246	0.134942656508773	1.5561507848338	0.228592489910322	0.168581157104648	0.471705187560023	0.155459966737721	0.137174358589159	0.135768495013463	0.340679362928286	0.183895527892479
OLFM4	0.0044856066257601	0.00694674720997626	0.00200484568222682	0.00718359841706044	0.00340540130669307	0.000819750942769064	0.00159190027854794	0.0070917576437637	0.00319459463442675	0.0054868818189247	0.00819110886375612	0.00531782595567824	0.0132092714487469	0.000521154564150072	0.00434737363698666	0.0107988401586225	0.00406288723594844	0.00386912190504319	0.0264410762919184	0.00307608949403849	0.0111473078130582	0.000704471217762069	0.0179486514424158	0.699300708556139
RPS4Y1	0.140296701283761	0.0550897768211872	0.00654270237211065	0.0827841159699693	0.0676409285475982	0.0344720665213303	0.0283632083939334	0.121570408859899	0.0787285687301291	0.0616225328348035	0.100205312395557	0.100132451618761	0.0586394371121065	0.0400781842927495	0.0694024901513134	0.0973722588016345	0.0608870311932593	0.0583539556062097	0.134217432816827	0.162858579082035	0.163552235906731	0.148100015278162	0.124600291674835	0.0505420413542363
