Astrocyte	Endothelial	Glycolytic RG	Hindbrain RG	Layer VI Occipital	Low quality	Microglia	Mixed	Newborn Low-Quality	oRG	Outlier	Pan-neuronal	Pan-radial glia	SST-MGE1	Unknown	Upper Layer	V1 Neurons
SLC45A1	130.49838257431	142.376237424997	97.8470616478693	122.070261391723	124.11852869729	128.277603103211	35.4936369840077	87.7211759651873	117.011335196576	115.513164060263	0	189.659507373489	147.712291477744	290.460755474264	194.737668066283	175.894953841355	112.274303633209
RERE	348.266764927251	455.677780556796	462.931273569764	415.607361512218	579.709067554204	351.355189310108	242.370829800663	257.658224688999	Inf	400.979002524892	130.55737704918	Inf	695.005706538034	434.255200055941	574.216213330543	666.45472613737	232.601326372021
ENO1	Inf	Inf	Inf	Inf	Inf	Inf	682.285558484463	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
GPR157	41.2009877751166	107.315454257259	138.01357358206	137.472293118599	149.643697406763	72.7872282865874	45.1910052522103	110.673965544719	128.356463467188	141.947258402913	37.214953271028	181.739144047258	197.961901326822	144.964619370226	183.128499564198	114.246286240014	121.592984421007
RP3-510D11.2	124.311407784394	255.25811393509	123.055281506272	137.445103487942	128.931626499469	100.927647052992	30.5115048708529	56.8898070128659	113.777862796063	113.288526334622	0	198.009977370475	265.153854686182	181.429803093312	119.04913343148	93.8850066870419	0
H6PD	83.4235218534364	156.312056788437	163.981922920414	127.988940440596	216.3195604	91.3337612457504	47.8847186981676	79.9797633786608	136.903879056225	75.4235155099782	0	125.720625522362	158.267329863487	124.544088807844	152.161956800438	87.1542564100767	85.3537491571684
SPSB1	94.9593669680667	138.570976266514	114.4572475963	84.6643321010193	100.63852309663	169.47403167464	67.5695477493803	56.5780123997182	103.729369252304	128.788526334416	0	198.009977370475	189.240521352849	108.928402533088	137.20197357502	207.242827741649	66.2635214311671
SLC25A33	125.754877072093	427.097739585184	328.867781506272	288.190270966118	207.66705074748	164.618793974294	66.232465239147	271.382127128023	316.576227541074	211.583398142889	21.4470377019749	370.579144037142	632.975926758254	371.048850712359	652.581150972266	266.906680801063	132.464779296427
TMEM201	85.3425627995911	180.346105598255	87.0013285149737	159.20952867589	92.4936165366794	170.058853103211	57.1139991995715	87.7038838621816	95.8838967680524	128.6218616953	0	212.334383413512	236.443897976226	164.941190256873	337.205267133882	107.817360282907	97.1314459600896
PIK3CD-AS2	55.1618983586323	578.578584230734	142.845559284052	184.98470315246	96.0779042032643	85.9798110802485	17.410338437109	127.817550697235	150.041133958186	124.501859677304	0	138.908262702669	191.669006201334	0	162.307314838829	139.533310696194	85.3558945220489
